Device,Quantity,Price in Egyptian Market (EGP),Price in International Market (USD),Notes
Patch Panel,6,1500,50,"Price per unit. Based on Cisco Patch Panel prices (Provantage, Cisco official site). Egyptian price includes estimated taxes and shipping."
Cisco Switch 2960,4,25000,800,"Price per unit. Based on Cisco Catalyst 2960-X series (Elite Egypt, Router-Switch). Egyptian price includes taxes."
Cisco Core Switch 3650,2,75000,2500,"Price per unit. Based on Cisco Catalyst 3650 series (Cisco official site, Elite Egypt). Egyptian price includes taxes."
Cisco Router 4331,1,120000,4000,"Price per unit. Based on Cisco ISR 4331 (Elite Egypt, Router-Switch). Egyptian price includes taxes."
Cisco Firewall 5506,1,60000,2000,"Price per unit. Based on Cisco ASA 5506-X (Router-Switch, estimated for Egypt). Egyptian price includes taxes."
Power Distribution Device,6,3000,100,Price per unit. Assumed as Cisco PDU (estimated from Router-Switch). Egyptian price includes taxes.
Access Point AP-PT-AC,17,9000,300,"Price per unit. Assumed as Cisco Aironet series (Router-Switch, Elite Egypt). AP-PT-AC is a Packet Tracer device, price estimated."
Copper Wall Mount,26,300,10,Price per unit. Assumed as Wall Mount Bracket for devices (estimated from general market). Egyptian price includes taxes.
Patch Cable,103,15450,515,"Total cost for 103 units (1-2m each). Standard Cat6 Patch Cable (Egypt Laptop, Jumia Egypt)."
Cat6 UTP Bulk Cable,270,6750,216,"Total cost for 270 meters (25 EGP/meter in Egypt, 0.8 USD/meter internationally). Based on Amazon.eg and Router-Switch prices."
PVC Cable Conduit,135,6750,202.5,Total cost for 135 pieces (2-meter each). Used for protecting copper cables between rooms and buildings. Estimated from Grandview Research and local market.